Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_feather,,Soft glory of birds. Tickle guaranteed.,鳥の誇りの柔毛。くすぐったさ保証。,鸟儿的柔软荣耀。保证痒。,鳥兒的柔軟榮耀。保證癢。,La douce gloire des oiseaux. Chatouilles garanties.,Weicher Ruhm der Vögel. Kitzeln garantiert.,La morbida gloria degli uccelli. Solletico garantito.,A glória macia dos pássaros. Cócegas garantidas.,La suave gloria de las aves. Cosquillas garantizadas.,새들의 부드러운 영광. 간지러움 보장.,Мягкая слава птиц. Щекотка гарантирована.
desc_plastic,,"Cheap, common, and surprisingly loyal.",安くて身近で、意外と忠実。,便宜、常见，却意外忠诚。,便宜、常見，卻意外忠誠。,"Bon marché, commun et étonnamment fidèle.","Billig, verbreitet und überraschend loyal.","Economico, comune e sorprendentemente fedele.","Barato, comum e surpreendentemente leal.","Barato, común y sorprendentemente fiel.",싸고 흔하지만 의외로 충직하다.,"Дешёвый, обычный и удивительно верный."
desc_wool,,"Warm and fluffy, but shrinks without mercy in hot water.",暖かモフモフ、熱湯で容赦なく縮む。,温暖蓬松，但遇热水毫不留情地缩水。,溫暖蓬鬆，但遇熱水毫不留情地縮水。,"Chaud et duveteux, mais rétrécit sans pitié dans l'eau chaude.","Warm und flauschig, schrumpft aber gnadenlos in heißem Wasser.","Calda e soffice, ma si restringe senza pietà in acqua calda.","Quente e fofinho, mas encolhe sem piedade na água quente.","Cálida y esponjosa, pero encoge sin piedad en agua caliente.",따뜻하고 보송하지만 뜨거운 물엔 사정없이 줄어든다.,"Тёплая и пушистая, но беспощадно садится в горячей воде."
desc_pipe,,A simple tube with endless possibilities.,ただの管。でも可能性は無限。,简单的管子，可能性无限。,簡單的管子，可能性無限。,Un simple tube aux possibilités infinies.,Ein einfaches Rohr mit endlosen Möglichkeiten.,Un semplice tubo con possibilità infinite.,Um simples tubo com possibilidades infinitas.,Un simple tubo con posibilidades infinitas.,단순한 관이지만 가능성은 무한하다.,Простая труба с бесконечными возможностями.
desc_nail,,"Small metal spikes—loved by wood, hated by thumbs.",木材に愛され、親指に嫌われる小釘。,小小金属钉——木材喜欢，拇指讨厌。,小小金屬釘——木材喜歡，拇指討厭。,"Petits clous métalliques — aimés du bois, détestés des pouces.","Kleine Metallspitzen – vom Holz geliebt, von Daumen gehasst.","Piccoli chiodi di metallo: amati dal legno, odiati dai pollici.","Pequenos pregos de metal — amados pela madeira, odiados pelos polegares.","Pequeños clavos de metal: amados por la madera, odiados por los pulgares.",작은 금속 못. 나무는 좋아하지만 엄지손가락은 싫어한다.,Маленькие металлические шипы — любимы деревом и ненавидимы большими пальцами.
desc_woodpanel,,Wood flattened into cooperation mode.,Solidな木材を薄く伸ばした協調性のある奴。,把木头压扁后的协作模式。,把木頭壓扁後的協作模式。,Du bois aplati en mode coopération.,"Holz, plattgedrückt im Kooperationsmodus.",Legno appiattito in modalità cooperativa.,Madeira achatada em modo cooperação.,Madera aplanada en modo cooperación.,나무를 납작하게 눌러 협업 모드로 만든 것.,"Дерево, расплющенное в режим сотрудничества."
desc_screw,,"Tiny, sharp, and always missing when needed.",小さい・鋭い・必要な時にだけ行方不明。,小、小而尖，而且总在需要时失踪。,小、小而尖，而且總在需要時失蹤。,"Petite, pointue et toujours introuvable quand on en a besoin.","Klein, scharf und immer weg, wenn man sie braucht.","Piccola, appuntita e sempre sparita quando serve.","Pequeno, afiado e sempre sumido quando você precisa.","Pequeño, afilado y siempre desaparece cuando lo necesitas.","작고 날카롭고, 필요할 때만 사라진다.","Маленький, острый и всегда пропадает, когда нужен."
desc_rope,,Trusty knot-friendly companion for explorers.,冒険者の相棒。結ばれても文句ゼロ。,探险家的可靠伙伴，特别好打结。,探險家的可靠夥伴，特別好打結。,"Un compagnon fiable qui adore les nœuds, pour les explorateurs.","Ein zuverlässiger, knotenfreundlicher Begleiter für Entdecker.",Un compagno affidabile e amico dei nodi per gli esploratori.,Companheiro confiável e amigo dos nós para exploradores.,Compañero fiable y amigo de los nudos para exploradores.,탐험가의 믿음직한 동료. 매듭도 잘 된다.,"Надёжный спутник исследователей, отлично дружит с узлами."
desc_clay,,Soft mud aspiring to become something greater.,ただの泥、将来は何かになりたい。,柔软的泥巴，立志成为更伟大的东西。,柔軟的泥巴，立志成為更偉大的東西。,De la boue tendre qui rêve de devenir quelque chose de plus grand.,"Weicher Schlamm mit dem Traum, einmal etwas Größeres zu werden.",Fango morbido che aspira a diventare qualcosa di più grande.,Lama macia que sonha em se tornar algo maior.,Barro suave que aspira a convertirse en algo más grande.,무른 진흙이지만 더 큰 존재가 되길 꿈꾼다.,"Мягкая грязь, мечтающая стать чем-то большим."
desc_brick,,A brick. Solid. Respect it.,レンガ。ただそこにある。敬意を。,一块砖。很结实。请尊重。,一塊磚。很結實。請尊重。,Une brique. Solide. Respecte-la.,Ein Ziegel. Solide. Respektiere ihn.,Un mattone. Solido. Rispetto.,Um tijolo. Sólido. Respeite.,Un ladrillo. Sólido. Respétalo.,벽돌이다. 단단하다. 존중해라.,Кирпич. Прочный. Уважай.
desc_stone,,"Old as mountains, tough as criticism.",山のように古く、ダメ出しにも負けない。,像山一样古老，像批评一样坚硬。,像山一樣古老，像批評一樣堅硬。,"Vieux comme les montagnes, dur comme la critique.","Alt wie Berge, hart wie Kritik.","Vecchio come le montagne, duro come le critiche.","Velho como as montanhas, duro como críticas.","Viejo como las montañas, duro como las críticas.",산처럼 오래되고 비판만큼 단단하다.,"Стар как горы, твёрд как критика."
desc_sand,,"Future glass, past beach.",未来はガラス、過去は浜辺。,未来是玻璃，过去是海滩。,未來是玻璃，過去是海灘。,"Verre du futur, plage du passé.","Zukünftiges Glas, einst Strand.","Vetro del futuro, spiaggia del passato.","Vidro do futuro, praia do passado.","Vidrio del futuro, playa del pasado.","미래의 유리, 과거의 해변.","Будущее стекло, прошлый пляж."
desc_copper,,"Looks fancy, conducts electricity better than conversation.",見た目は豪華、おしゃべりより電流が得意。,看着挺华丽，导电比聊天更强。,看著挺華麗，導電比聊天更強。,"Ça fait chic, et ça conduit l'électricité mieux que la conversation.","Sieht schick aus, leitet Strom besser als Gespräche.",Sembra elegante e conduce l'elettricità meglio di una conversazione.,Parece chique e conduz eletricidade melhor do que conversa.,Se ve elegante y conduce la electricidad mejor que una conversación.,"겉보기엔 화려하고, 대화보다 전기가 더 잘 통한다.","Выглядит роскошно и проводит электричество лучше, чем разговор."
desc_silver,,"Shiny, valuable, and slightly arrogant.",光り輝き価値あり。ちょっと偉そう。,闪亮、值钱，还有点傲慢。,閃亮、值錢，還有點傲慢。,"Brillant, précieux et légèrement arrogant.","Glänzend, wertvoll und leicht arrogant.","Lucente, prezioso e un po' arrogante.","Brilhante, valioso e um pouco arrogante.","Brillante, valioso y un poco arrogante.",반짝이고 값지며 살짝 거만하다.,"Сияющий, ценный и слегка высокомерный."
desc_gold,,"Golden, flashy, and loved by dragons and taxes.",金ピカ、派手。ドラゴンと税金が好む。,金闪闪、很招摇，龙和税务都爱。,金閃閃、很招搖，龍和稅務都愛。,"Doré, tape-à-l'œil, aimé des dragons et des impôts.","Golden, protzig und beliebt bei Drachen und Steuern.","Dorato, appariscente e amato da draghi e tasse.","Dourado, chamativo e amado por dragões e impostos.","Dorado, llamativo y amado por dragones y los impuestos.","황금빛에 화려하고, 용과 세금이 좋아한다.","Золотой, броский и любимый драконами и налогами."
desc_crystal,,"Clear, sharp, and definitely magical if it glows.",透明で鋭い。光ったらもう魔法。,清澈、锋利，如果会发光那肯定是魔法。,清澈、鋒利，如果會發光那肯定是魔法。,"Clair, tranchant, et définitivement magique s'il brille.","Klar, scharf und definitiv magisch, wenn es leuchtet.","Chiaro, affilato e decisamente magico se brilla.","Claro, afiado e definitivamente mágico se brilha.","Claro, afilado y definitivamente mágico si brilla.",투명하고 날카롭다. 빛나면 확실히 마법이다.,"Прозрачный, острый и точно магический, если светится."
desc_starshard,,"Dust from a fallen star. Rare, dramatic, cosmic.",落ちた星の欠片。希少でドラマチックで宇宙的。,坠星的尘埃。稀有、戏剧性、宇宙感十足。,墜星的塵埃。稀有、戲劇性、宇宙感十足。,"Poussière d'une étoile tombée. Rare, dramatique, cosmique.","Staub eines gefallenen Sterns. Selten, dramatisch, kosmisch.","Polvere di una stella caduta. Rara, drammatica, cosmica.","Poeira de uma estrela caída. Rara, dramática, cósmica.","Polvo de una estrella caída. Raro, dramático, cósmico.",떨어진 별의 먼지. 희귀하고 드라마틱하며 우주적이다.,"Пыль упавшей звезды. Редкая, драматичная, космическая."
