Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_plant_pot_a,,A small home for greenery. It all starts here.,小さな緑の居場所。まずはここから始まる。,小小绿色的家，一切从这里开始。,小小綠色的家，一切從這裡開始。,Petit foyer pour la verdure. Tout commence ici.,Kleines Zuhause für Grün. Hier beginnt alles.,Piccola casa per il verde. Tutto inizia qui.,Pequeno lar para o verde. Tudo começa aqui.,Pequeño hogar para el verde. Todo empieza aquí.,작은 초록의 집. 여기서 시작된다.,Маленький дом для зелени. Всё начинается здесь.
desc_plant_pot_b,,A shape that doesn't overstate. The plant is the star.,主張しすぎない形。中身が主役。,低调的形状，让内容成为主角。,低調的形狀，讓內容成為主角。,Forme discrète. La plante est la vedette.,Zurückhaltende Form. Die Pflanze ist der Star.,Forma discreta. La pianta è la protagonista.,Forma discreta. A planta é a estrela.,Forma discreta. La planta es la protagonista.,과하지 않은 형태. 식물이 주인공.,Скромная форма. Растение главная звезда.
desc_plant_pot_c,,Place it and the vibe is set. Waiting for a plant.,置くだけで雰囲気が決まる。植物待ち。,摆上就有氛围，等着植物入住。,擺上就有氛圍，等著植物入住。,Posé et l'ambiance est faite. En attente d'une plante.,Hinstellen und die Stimmung sitzt. Wartet auf eine Pflanze.,Basta posarlo e l'atmosfera è pronta. In attesa di una pianta.,Basta colocar e o clima se forma. À espera de uma planta.,Con colocarlo ya se crea el ambiente. Espera una planta.,놓기만 해도 분위기가 정해진다. 식물 대기.,Поставил и настроение готово. Ждёт растение.
desc_plant_pot_d,,The more it's used the more it fits. Water marks are memories.,使い込むほど馴染む器。水跡も思い出。,越用越顺手，水痕也是回忆。,越用越順手，水痕也是回憶。,Plus on l'utilise plus il s'adapte. Les traces d'eau sont des souvenirs.,Je mehr er benutzt wird desto vertrauter. Wasserflecken sind Erinnerungen.,Più lo usi più si adatta. Le macchie d'acqua sono ricordi.,Quanto mais usa mais combina. Marcas de água são memórias.,Cuanto más se usa más encaja. Las marcas de agua son recuerdos.,쓸수록 익숙해진다. 물자국도 추억.,Чем больше пользуются тем роднее. Следы воды это воспоминания.
desc_plant_pot_e,,Its personality changes with what you plant. Full of possibilities.,何を植えるかで性格が変わる。可能性の塊。,种什么就变什么性格，可能性爆棚。,種什麼就變什麼性格，可能性爆棚。,Son caractère change selon ce que tu plantes. Plein de possibilités.,Der Charakter ändert sich je nach Pflanze. Voller Möglichkeiten.,Il carattere cambia con ciò che pianti. Pieno di possibilità.,A personalidade muda com o que planta. Cheio de possibilidades.,Su carácter cambia según lo que plantes. Lleno de posibilidades.,무엇을 심느냐에 따라 성격이 변한다. 가능성 덩어리.,Характер меняется от посадки. Полон возможностей.
desc_plant_pot_f,,Looks light but is surprisingly reliable. Made for daily life.,軽やかに見えて意外と頼れる。日常向き。,看着轻巧却很可靠，日常向。,看著輕巧卻很可靠，日常向。,Semble léger mais étonnamment fiable. Fait pour le quotidien.,Wirkt leicht aber erstaunlich zuverlässig. Für den Alltag.,Sembra leggero ma è sorprendentemente affidabile. Per la vita quotidiana.,Parece leve mas é surpreendentemente confiável. Para o dia a dia.,Parece ligero pero es sorprendentemente fiable. Para el día a día.,가벼워 보이지만 의외로 믿음직. 일상용.,Кажется лёгким но удивительно надёжным. Для повседневности.
desc_plant_pot_g,,A seat for chosen plants only. A little proud.,選ばれた植物だけが入れる席。少し誇らしげ。,只有被选中的植物才能坐进来，略显骄傲。,只有被選中的植物才能坐進來，略顯驕傲。,Siège pour plantes choisies seulement. Un peu fier.,Platz nur für ausgewählte Pflanzen. Ein wenig stolz.,Posto solo per piante selezionate. Un po' fiero.,Lugar só para plantas escolhidas. Um pouco orgulhoso.,Asiento solo para plantas elegidas. Un poco orgulloso.,선택된 식물만 앉는 자리. 조금 자랑스럽다.,Место только для избранных растений. Немного гордый.
desc_plant_pot_medium_a,,Just the right presence. A rooftop standard size.,ほどよい存在感。屋上の定番サイズ。,存在感刚好，屋顶标准尺寸。,存在感剛好，屋頂標準尺寸。,Présence juste comme il faut. Taille standard du toit.,Genau richtige Präsenz. Standardgröße fürs Dach.,Presenza giusta. Taglia standard del tetto.,Presença na medida. Tamanho padrão do telhado.,Presencia justa. Tamaño estándar del tejado.,적당한 존재감. 옥상 표준 크기.,Как раз нужное присутствие. Стандартный размер крыши.
desc_plant_pot_medium_b,,Stability first. Unshaken even by the wind.,安定感重視。風にも動じない。,稳定优先，风也撼不动。,穩定優先，風也撼不動。,Priorité à la stabilité. Ne bouge pas même au vent.,Stabilität zuerst. Bewegt sich nicht einmal im Wind.,Stabilità prima di tutto. Non si muove nemmeno col vento.,Estabilidade em primeiro lugar. Não se mexe nem com vento.,Estabilidad ante todo. No se mueve ni con viento.,안정감 우선. 바람에도 흔들리지 않는다.,Стабильность прежде всего. Не шевелится даже на ветру.
desc_plant_pot_medium_c,,A vessel that holds everyday life. Always there.,生活感を受け止める器。毎日そこにある。,承接生活气息的器皿，总在那儿。,承接生活氣息的器皿，總在那兒。,Un récipient qui accueille la vie quotidienne. Toujours là.,Gefäß das Alltagsleben aufnimmt. Immer da.,Un vaso che accoglie la vita quotidiana. Sempre lì.,Um vaso que acolhe o cotidiano. Sempre presente.,Un recipiente que acoge la vida diaria. Siempre está ahí.,생활감을 받아주는 그릇. 늘 그 자리에.,Сосуд для повседневной жизни. Всегда на месте.
desc_plant_pot_large_a,,Big enough to feel reassuring. Ready to put down roots.,大きさで安心させてくる。根を張る覚悟。,大得让人安心，准备扎根。,大得讓人安心，準備扎根。,La taille rassure. Prêt à prendre racine.,Die Größe beruhigt. Bereit Wurzeln zu schlagen.,La grandezza rassicura. Pronto a mettere radici.,O tamanho traz segurança. Pronto para criar raízes.,El tamaño da seguridad. Listo para echar raíces.,크기로 안심시킨다. 뿌리내릴 각오.,Размер успокаивает. Готов пустить корни.
desc_plant_pot_large_b,,The moment you place it the view changes. Its weight is serious too.,置いた瞬間、景色が変わる。重さも本気。,一放下景色就变，重量也很认真。,一放下景色就變，重量也很認真。,Dès qu'on le pose la vue change. Le poids est sérieux.,Sobald man ihn stellt ändert sich die Szene. Das Gewicht ist ernst.,Appena lo posi la vista cambia. Il peso è serio.,Ao colocar a vista muda. O peso é sério.,Al colocarlo cambia el paisaje. El peso es serio.,놓는 순간 풍경이 변한다. 무게도 진심.,Поставишь и вид меняется. Вес тоже серьёзный.
desc_plant_pot_large_c,,A pot that takes on the time to grow. Move it only at the end.,育てる時間を引き受ける器。動かすのは最後。,接下漫长生长时间的器皿，动它就是最后。,接下漫長生長時間的器皿，動它就是最後。,Un pot qui porte le temps de croissance. Ne bouge qu'à la fin.,Ein Topf der die Wachstumszeit trägt. Bewegen erst am Ende.,Un vaso che porta il tempo di crescita. Muovere solo alla fine.,Um vaso que assume o tempo de crescimento. Mover só no fim.,Una maceta que asume el tiempo de crecimiento. Mover solo al final.,자라는 시간을 맡는 화분. 움직이는 건 마지막.,Горшок который принимает время роста. Двигают только в конце.
desc_ih_kitchen,,A kitchen that fixes late-night snacks without flames. Quietly does its job on the rooftop.,火を使わずに夜食を整える台所。屋上でも静かに役目を果たす。,不用火也能做夜宵的厨房，在屋顶也安静完成任务。,不用火也能做夜宵的廚房，在屋頂也安靜完成任務。,Cuisine qui prépare les en-cas de nuit sans flamme. Calme même sur le toit.,Küche die Nachtsnacks ohne Flamme richtet. Ruhig auch auf dem Dach.,Cucina che prepara snack notturni senza fiamma. Silenziosa anche sul tetto.,Cozinha que prepara lanches noturnos sem chama. Silenciosa no telhado.,Cocina que arregla snacks nocturnos sin llama. Silenciosa incluso en el tejado.,불 없이 야식을 준비하는 주방. 옥상에서도 조용히 역할.,Кухня без огня готовит ночные перекусы. Тихо даже на крыше.
desc_gas_stove_kitchen,,A place that raises flames and daily life together. Another quiet morning begins.,炎と生活感を同時に立ち上げる場所。今日も静かに一日が始まる。,同时点燃火焰与生活感的地方。又是安静的一天开始。,同時點燃火焰與生活感的地方。又是安靜的一天開始。,Lieu qui allume flamme et quotidien ensemble. Un matin calme commence.,Ort der Flamme und Alltag zugleich entzündet. Ein ruhiger Morgen beginnt.,Luogo che accende fiamma e quotidiano insieme. Inizia un mattino calmo.,Lugar que acende chama e cotidiano juntos. Outra manhã tranquila começa.,Lugar que enciende llama y vida diaria a la vez. Comienza otra mañana tranquila.,불꽃과 생활감을 동시에 켜는 곳. 오늘도 조용한 아침이 시작.,Место где разжигают пламя и быт вместе. Тихое утро начинается.
desc_large_refrigerator,,A presence that holds lots of ingredients and memories. Sometimes something mysterious appears from the back.,食材と記憶をたっぷり抱え込む存在。奥から謎の何かが出てくることもある。,能装满食材与记忆的存在，深处偶尔会冒出神秘之物。,能裝滿食材與記憶的存在，深處偶爾會冒出神秘之物。,Présence qui garde beaucoup d'ingrédients et de souvenirs. Parfois quelque chose de mystérieux apparaît au fond.,Präsenz die viele Zutaten und Erinnerungen hält. Manchmal taucht hinten etwas Rätselhaftes auf.,Presenza che contiene molti ingredienti e ricordi. A volte qualcosa di misterioso appare in fondo.,Presença que guarda muitos ingredientes e memórias. Às vezes algo misterioso aparece no fundo.,Presencia que guarda muchos ingredientes y recuerdos. A veces aparece algo misterioso al fondo.,식재료와 기억을 가득 품는 존재. 안쪽에서 가끔 수상한 것이 나온다.,Присутствие что хранит много продуктов и воспоминаний. Иногда сзади появляется что-то загадочное.
desc_medium_refrigerator,,A realistically sized capacity. It subtly decides how often you shop.,ほどよく現実的な容量。買い物の頻度をそれとなく決めてくる。,容量很现实，会悄悄决定你买菜频率。,容量很現實，會悄悄決定你買菜頻率。,Capacité réaliste. Décide discrètement la fréquence des courses.,Realistische Kapazität. Bestimmt unauffällig die Einkaufshäufigkeit.,Capacità realistica. Decide discretamente la frequenza della spesa.,Capacidade realista. Decide discretamente a frequência das compras.,Capacidad realista. Decide discretamente la frecuencia de compra.,현실적인 용량. 장보기 빈도를 은근히 정한다.,Реалистичный объем. Незаметно решает частоту покупок.
desc_small_refrigerator,,A small fridge that tends to be for drinks only. Sometimes an excavation starts.,飲み物専用になりがちな小さな冷蔵庫。たまに発掘調査が始まる。,小冰箱常被当作饮料专用，偶尔会开始考古。,小冰箱常被當作飲料專用，偶爾會開始考古。,Petit frigo souvent réservé aux boissons. Parfois une fouille commence.,Kleiner Kühlschrank oft nur für Getränke. Manchmal beginnt eine Ausgrabung.,Piccolo frigo spesso per bevande. A volte parte uno scavo.,Geladeira pequena que vira só de bebidas. Às vezes começa uma escavação.,Frigorífico pequeño a menudo solo para bebidas. A veces empieza una excavación.,음료 전용이 되기 쉬운 작은 냉장고. 가끔 발굴 조사가 시작된다.,Маленький холодильник часто только для напитков. Иногда начинается раскопка.
desc_microwave,,A device that rewinds time with one button. The contents are sometimes forgotten.,ボタン一つで時間を巻き戻す装置。中身はたまに忘れられる。,一键倒回时间的装置，里面的东西偶尔会被忘掉。,一鍵倒回時間的裝置，裡面的東西偶爾會被忘掉。,Appareil qui rembobine le temps avec un bouton. Le contenu est parfois oublié.,Gerät das die Zeit mit einem Knopf zurückdreht. Inhalt wird manchmal vergessen.,Dispositivo che riavvolge il tempo con un tasto. Il contenuto a volte è dimenticato.,Aparelho que rebobina o tempo com um botão. O conteúdo às vezes é esquecido.,Aparato que rebobina el tiempo con un botón. El contenido a veces se olvida.,버튼 하나로 시간을 되감는 장치. 안은 가끔 잊힌다.,Устройство что откатывает время одной кнопкой. Содержимое иногда забывают.
desc_dishwasher,,An honor student that quietly cleans dishes. Proof of human progress.,黙って食器を片付ける優等生。人類の進歩を静かに証明している。,默默洗碗的优等生，安静证明人类进步。,默默洗碗的優等生，安靜證明人類進步。,Bon élève qui nettoie la vaisselle en silence. Preuve du progrès humain.,Musterschüler der still Geschirr räumt. Beweis menschlichen Fortschritts.,Studente modello che lava i piatti in silenzio. Prova del progresso umano.,Aluno exemplar que limpa a louça em silêncio. Prova do progresso humano.,Alumno ejemplar que lava los platos en silencio. Prueba del progreso humano.,말없이 설거지하는 우등생. 인류 진보의 증거.,Отличник что молча моет посуду. Доказательство прогресса людей.
desc_rice_cooker,,A box that makes peace just by cooking rice. In charge of Japanese calm.,米を炊くだけで安心感が生まれる箱。日本の平穏担当。,只要煮饭就让人安心的盒子，日本平和担当。,只要煮飯就讓人安心的盒子，日本平和擔當。,Boîte qui apporte la paix en cuisant le riz. Responsable du calme japonais.,Kiste die durch Reiskochen Ruhe schafft. Zuständig für japanische Gelassenheit.,Scatola che porta pace cuocendo riso. Responsabile della calma giapponese.,Caixa que traz paz ao cozinhar arroz. Responsável pela calma japonesa.,Caja que da paz al cocinar arroz. Encargada de la calma japonesa.,밥만 해도 안심이 생기는 상자. 일본의 평온 담당.,Коробка что приносит покой готовя рис. Ответственная за японское спокойствие.
desc_retro_tv,,A screen that shows nostalgia. Even the channel knob sound comes back.,懐かしさを映し出す画面。チャンネルを回す音まで思い出させる。,映出怀旧的屏幕，连旋钮声都能想起。,映出懷舊的螢幕，連旋鈕聲都能想起。,Écran qui montre la nostalgie. Même le son du bouton revient.,Bildschirm der Nostalgie zeigt. Selbst das Knopfgeräusch kehrt zurück.,Schermo che mostra nostalgia. Anche il suono della manopola torna.,Tela que mostra nostalgia. Até o som do botão volta.,Pantalla que muestra nostalgia. Hasta el sonido de la perilla vuelve.,추억을 비추는 화면. 채널 돌리는 소리까지 떠오른다.,Экран что показывает ностальгию. Даже звук ручки возвращается.
desc_small_tv,,Daily life packed into a small screen. Hard to look away.,小さな画面に詰まった日常。意外と目が離せない。,小屏幕里塞满日常，意外让人移不开眼。,小螢幕裡塞滿日常，意外讓人移不開眼。,Quotidien dans un petit écran. Difficile de détourner le regard.,Alltag in einem kleinen Bildschirm. Schwer wegzusehen.,Quotidianità in un piccolo schermo. Difficile distogliere lo sguardo.,Vida diária em uma tela pequena. Difícil desviar o olhar.,Vida diaria en una pantalla pequeña. Difícil apartar la mirada.,작은 화면에 담긴 일상. 의외로 눈을 못 뗀다.,Повседневность в маленьком экране. Трудно отвести взгляд.
desc_large_tv,,A screen that rules the space by presence. Movies and games gather here.,存在感で空間を支配する画面。映画もゲームもここに集まる。,存在感统治空间的屏幕，电影和游戏都聚在这里。,存在感統治空間的螢幕，電影和遊戲都聚在這裡。,Écran qui domine l'espace par sa présence. Films et jeux se rassemblent ici.,Bildschirm der den Raum beherrscht. Filme und Spiele sammeln sich hier.,Schermo che domina lo spazio con la presenza. Film e giochi si raccolgono qui.,Tela que domina o espaço pela presença. Filmes e jogos se juntam aqui.,Pantalla que domina el espacio por presencia. Películas y juegos se reúnen aquí.,존재감으로 공간을 지배하는 화면. 영화도 게임도 여기 모인다.,Экран что правит пространством своим присутствием. Фильмы и игры собираются здесь.
desc_top_loading_washing_machine,,A washing machine that says it's still active with its noise. It spins at full power today too.,まだ現役だと音で主張する洗濯機。今日も全力で回っている。,用声音宣告还在服役的洗衣机，今天也全力旋转。,用聲音宣告還在服役的洗衣機，今天也全力旋轉。,Machine qui prouve son activité par le bruit. Elle tourne à fond aujourd'hui encore.,Waschmaschine die ihren Dienst durch Lärm zeigt. Sie dreht heute wieder voll.,Lavatrice che dice di essere attiva con il rumore. Oggi gira al massimo.,Máquina que prova que trabalha pelo barulho. Hoje gira a toda força.,Lavadora que afirma estar activa con su ruido. Hoy también gira a plena potencia.,소리로 아직 현역임을 말하는 세탁기. 오늘도 전력 회전.,Машина что заявляет о себе шумом. Сегодня снова крутится на полную.
desc_front_loading_washing_machine,,An object to watch as it keeps spinning quietly. You end up watching until the end.,静かに回り続ける観察対象。気づくと最後まで見てしまう。,安静转动的观察对象，回过神来就看完了。,安靜轉動的觀察對象，回過神來就看完了。,Objet d'observation qui tourne en silence. On regarde jusqu'à la fin.,Beobachtungsobjekt das leise dreht. Man schaut bis zum Ende.,Oggetto da osservare che gira in silenzio. Si guarda fino alla fine.,Objeto de observação que gira em silêncio. Acaba vendo até o fim.,Objeto para observar que gira en silencio. Terminas mirándolo hasta el final.,조용히 돌아가는 관찰 대상. 어느새 끝까지 본다.,Объект наблюдения что тихо крутится. В итоге смотришь до конца.
desc_retro_fan,,A veteran that brings Showa-era wind. Even low is full power.,昭和の風を運んでくるベテラン。弱でも全力投球。,带来昭和之风的老将，低档也全力。,帶來昭和之風的老將，低檔也全力。,Vétéran qui apporte le vent de l'ère Showa. Même en faible il donne tout.,Veteran der Showa-Wind bringt. Selbst auf niedrig volle Kraft.,Veterano che porta il vento dell'era Showa. Anche al minimo dà il massimo.,Veterano que traz o vento da era Showa. Mesmo no baixo dá tudo.,Veterano que trae el viento de la era Showa. Incluso en bajo va a tope.,쇼와의 바람을 가져오는 베테랑. 약으로도 전력.,Ветеран что приносит ветер эпохи Сёва. Даже на слабом полной мощью.
desc_modern_fan,,Modern wind with no waste. Quiet and precise at work.,無駄を削ぎ落とした現代の風。静かに、的確に仕事をする。,去掉多余的现代之风，安静又精准地工作。,去掉多餘的現代之風，安靜又精準地工作。,Vent moderne sans gaspillage. Silencieux et précis au travail.,Moderner Wind ohne Verschwendung. Leise und präzise bei der Arbeit.,Vento moderno senza sprechi. Silenzioso e preciso al lavoro.,Vento moderno sem desperdício. Silencioso e preciso no trabalho.,Viento moderno sin desperdicio. Silencioso y preciso en su trabajo.,군더더기 없는 현대의 바람. 조용하고 정확하다.,Современный ветер без лишнего. Тихий и точный в работе.
desc_air_conditioner,,Just having it lowers summer difficulty. The rooftop savior.,これがあるだけで夏の難易度が下がる。屋上の救世主。,有它夏天难度就下降，屋顶救世主。,有它夏天難度就下降，屋頂救世主。,L'avoir suffit pour baisser la difficulté de l'été. Sauveur du toit.,Allein seine Anwesenheit senkt die Sommerstufe. Retter des Dachs.,Basta averlo per rendere l'estate più facile. Salvatore del tetto.,Só de ter já reduz a dificuldade do verão. Salvador do telhado.,Solo con tenerlo baja la dificultad del verano. Salvador del tejado.,있기만 해도 여름 난이도가 내려간다. 옥상의 구세주.,Одно его наличие снижает трудность лета. Спаситель крыши.
desc_air_purifier,,Keeps quietly doing the invisible job of cleaning air.,空気をきれいにするという見えない仕事を、黙々と続けている。,默默做着净化空气的隐形工作。,默默做著淨化空氣的隱形工作。,Continue silencieusement le travail invisible de nettoyer l'air.,Macht still die unsichtbare Arbeit der Luftreinigung.,Continua in silenzio il lavoro invisibile di pulire l'aria.,Continua silenciosamente o trabalho invisível de limpar o ar.,Sigue en silencio el trabajo invisible de limpiar el aire.,공기를 깨끗이 하는 보이지 않는 일을 묵묵히 한다.,Молча выполняет невидимую работу очистки воздуха.
desc_laundry_basket,,A place where laundry gathers temporarily. It fills up fast.,洗濯物が一時的に集まる場所。だいたいすぐ満員になる。,洗衣物暂时集合的地方，很快就满。,洗衣物暫時集合的地方，很快就滿。,Lieu où le linge se rassemble temporairement. Se remplit vite.,Ort wo Wäsche sich sammelt. Wird schnell voll.,Luogo dove la biancheria si raccoglie temporaneamente. Si riempie in fretta.,Lugar onde a roupa se junta temporariamente. Enche rápido.,Lugar donde la ropa se reúne temporalmente. Se llena rápido.,세탁물이 잠시 모이는 곳. 금방 찬다.,Место где бельё временно собирается. Быстро заполняется.
,,,,,,,,,,,,
